,game_key,winner_id,odd_team_1,odd_ml_1,odd_team_2,odd_ml_2
1226,201904021x000010f0,21,2,174,21,-210
1227,201904021x000001e4,1,10,-145,1,121
1228,201904021x00044fd6,18,18,-230,27,188
1229,201904021x00015ea6,19,19,-199,14,165
1230,201904021x00000fe4,3,3,168,15,-203
1231,201904021x0003de9e,20,20,-135,23,113
1232,201904021x000008e8,5,5,-125,7,104
1233,201904021x00001f6c,9,8,-102,9,-117
1234,201904021x000d2f58,30,30,148,29,-175
1235,201904031x0006f18a,24,24,134,26,-159
1236,201904031x00029c34,17,17,139,22,-166
1237,201904031x00002548,6,13,-176,6,149
1238,201904041x000001b4,2,2,-205,6,169
1239,201904041x000037f0,9,9,-336,11,265
1240,201904041x00032aca,18,18,-124,23,104
1241,201904041x000ac168,29,27,127,29,-150
1242,201904041x00001060,12,4,-104,12,-115
1243,201904041x000006e4,1,20,-124,1,104
1244,201904041x000716a0,21,21,-260,30,212
1245,201904041x00000fe4,15,15,-304,3,245
1246,201904041x0001cfe0,22,22,-211,14,174
1247,201904041x00001416,7,8,-103,7,-115
1248,201904041x000a8d30,25,31,-224,25,185
1249,201904041x00002868,16,16,-140,5,118
1250,201904051x000802cc,24,24,-160,28,135
1251,201904051x0001f920,17,17,-113,19,-107
1252,201904051x00005c38,10,13,220,10,-274
1253,201904061x0005eef0,23,25,122,23,-145
1254,201904061x00000100,7,1,-119,7,-100
1255,201904061x0008b606,27,26,-199,27,166
1256,201904061x0002afba,19,19,-159,20,134
1257,201904061x0000008e,2,3,-122,2,102
1258,201904061x00000df2,11,4,-214,11,177
1259,201904061x000d20d6,28,28,138,31,-162
1260,201904061x00000b48,5,5,-111,8,-107
1261,201904061x00026350,21,21,-247,17,202
1262,201904061x000016fc,10,6,159,10,-189
1263,201904061x0000577c,9,14,123,9,-147
1264,201904061x0000c358,13,15,-314,13,250
1265,201904061x0004f348,29,29,-168,18,140
1266,201904061x0007bf70,22,22,-280,30,226
1267,201904061x0000be24,12,16,-125,12,103
1268,201904101x0000a866,12,12,-108,15,-109
1269,201904101x0002f2d8,19,21,-157,19,133
1270,201904101x0004a472,22,23,-117,22,-101
1271,201904101x000e0cb8,29,29,-129,31,108
1272,201904101x00001e0a,10,7,-241,10,199
1273,201904111x00000144,8,1,-143,8,120
1274,201904111x00040258,26,26,-206,18,172
1275,201904111x0000706c,16,16,-157,9,133
1276,201904121x0000a866,12,12,106,15,-127
1277,201904121x000e0cb8,31,29,-136,31,113
1278,201904121x00001e0a,10,7,-295,10,235
1279,201904121x0004a472,22,23,-127,22,106
1280,201904131x00000144,1,1,-145,8,122
1281,201904131x0000706c,16,16,-158,9,132
1282,201904131x0002f2d8,21,21,-160,19,134
1283,201904131x00040258,18,26,-223,18,183
1284,201904141x00001e0a,10,10,119,7,-142
1285,201904141x0000a866,12,15,-191,12,159
1286,201904141x0004a472,23,22,-161,23,136
1287,201904141x000e0cb8,31,31,-155,29,130
1288,201904151x00000144,8,8,-120,1,101
1289,201904151x0002f2d8,21,19,-121,21,102
1290,201904151x0000706c,9,9,-125,16,106
1291,201904151x00040258,18,18,-102,26,-117
1292,201904161x00001e0a,10,10,115,7,-136
1293,201904161x0000a866,12,15,-170,12,144
1294,201904161x0004a472,23,22,-156,23,132
1295,201904161x000e0cb8,31,31,-171,29,145
1296,201904171x00040258,18,18,-108,26,-110
1297,201904171x0002f2d8,19,19,-123,21,104
1298,201904171x00000144,1,8,-121,1,102
1299,201904181x0004a472,22,23,-123,22,104
1300,201904181x000e0cb8,29,29,-115,31,-103
1301,201904181x0000706c,9,9,-123,16,104
1302,201904191x00000144,8,1,-145,8,122
1303,201904191x00040258,18,26,-175,18,149
1304,201904201x0002f2d8,19,21,-157,19,132
1305,201904201x0004a472,22,22,-150,23,126
